#Code;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.14;Those damnable Zandalari ruined it all when they led a rebellion and deposed the glorious hakkari emperor. Yet, hope remains. The temple of Atal'Hakkar is still within your control, and from there the Soulflayer can be brought forth!;Those damnable Zandalari ruined it all when they led a rebellion and deposed the glorious hakkari emperor. Yet, hope remains. The temple of Atal'Hakkar is still within your control, and from there the Soulflayer can be brought forth!;Those damnable Zandalari ruined it all when they led a rebellion and deposed the glorious hakkari emperor. Yet, hope remains. The temple of Atal'Hakkar is still within your control, and from there the Soulflayer can be brought forth!;;Those damnable Zandalari ruined it all when they led a rebellion and deposed the glorious hakkari emperor. Yet, hope remains. The temple of Atal'Hakkar is still within your control, and from there the Soulflayer can be brought forth!;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.14.a;Yes, Hakkar will rise still!;Yes, Hakkar will rise still!;Yes, Hakkar will rise still!;;Yes, Hakkar will rise still!;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.14.b;No, we should just give up.;No, we should just give up.;No, we should just give up.;;No, we should just give up.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTITLEGURUB.15;Green Interlopers;Green Interlopers;Green Interlopers;;Green Interlopers;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.15;As if the rebels hadn't been enough, now green dragons have come to try and stop your holy work! This cannot be allowed! Defend the Temple and defeat these dragons!;As if the rebels hadn't been enough, now green dragons have come to try and stop your holy work! This cannot be allowed! Defend the Temple and defeat these dragons!;As if the rebels hadn't been enough, now green dragons have come to try and stop your holy work! This cannot be allowed! Defend the Temple and defeat these dragons!;;As if the rebels hadn't been enough, now green dragons have come to try and stop your holy work! This cannot be allowed! Defend the Temple and defeat these dragons!;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.15;Damn them!;Damn them!;Damn them!;;Damn them!;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.17;The meddling green dragons have been beaten back! Now you can truly prepare for the summoning!;The meddling green dragons have been beaten back! Now you can truly prepare for the summoning!;The meddling green dragons have been beaten back! Now you can truly prepare for the summoning!;;The meddling green dragons have been beaten back! Now you can truly prepare for the summoning!;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.17;Hakkar will rise!;Hakkar will rise!;Hakkar will rise!;;Hakkar will rise!;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTITLEGURUB.18;Atal'ai Victory;Atal'ai Victory;Atal'ai Victory;;Atal'ai Victory;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.18;The trolls of the Atal'ai priesthood have managed to successfuly defend themselves against the assault of the Green Dragonflight on their temple. The consequences of this have yet to be seen, but they are bound to continue their efforts to summon their god.;The trolls of the Atal'ai priesthood have managed to successfuly defend themselves against the assault of the Green Dragonflight on their temple. The consequences of this have yet to be seen, but they are bound to continue their efforts to summon their god.;The trolls of the Atal'ai priesthood have managed to successfuly defend themselves against the assault of the Green Dragonflight on their temple. The consequences of this have yet to be seen, but they are bound to continue their efforts to summon their god.;;The trolls of the Atal'ai priesthood have managed to successfuly defend themselves against the assault of the Green Dragonflight on their temple. The consequences of this have yet to be seen, but they are bound to continue their efforts to summon their god.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.18;Interesting.;Interesting.;Interesting.;;Interesting.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTITLEGURUB.20;The Sunken Temple;The Sunken Temple;The Sunken Temple;;The Sunken Temple;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.20;The dragons of Ysera's brood, under the wyrm Eranikus, have conquered the temple of Atal'Hakkar from the Atal'ai priesthood. To prevent any further rituals from being performed, the dragons have sunk the temple in the lake upon which it had been built.;The dragons of Ysera's brood, under the wyrm Eranikus, have conquered the temple of Atal'Hakkar from the Atal'ai priesthood. To prevent any further rituals from being performed, the dragons have sunk the temple in the lake upon which it had been built.;The dragons of Ysera's brood, under the wyrm Eranikus, have conquered the temple of Atal'Hakkar from the Atal'ai priesthood. To prevent any further rituals from being performed, the dragons have sunk the temple in the lake upon which it had been built.;;The dragons of Ysera's brood, under the wyrm Eranikus, have conquered the temple of Atal'Hakkar from the Atal'ai priesthood. To prevent any further rituals from being performed, the dragons have sunk the temple in the lake upon which it had been built.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTITLEGURUB.21;Soulflayer;Soulflayer;Soulflayer;;Soulflayer;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.21;Hakkar, the Soulflayer, has been summoned onto this world. The power he exhudes is overwhelming, and your very blood seems to call out his name. KNEEL. The command issues forth from the mighty feathered serpent. Can you even resist? Could you even possibly disobey a god?;Hakkar, the Soulflayer, has been summoned onto this world. The power he exhudes is overwhelming, and your very blood seems to call out his name. KNEEL. The command issues forth from the mighty feathered serpent. Can you even resist? Could you even possibly disobey a god?;Hakkar, the Soulflayer, has been summoned onto this world. The power he exhudes is overwhelming, and your very blood seems to call out his name. KNEEL. The command issues forth from the mighty feathered serpent. Can you even resist? Could you even possibly disobey a god?;;Hakkar, the Soulflayer, has been summoned onto this world. The power he exhudes is overwhelming, and your very blood seems to call out his name. KNEEL. The command issues forth from the mighty feathered serpent. Can you even resist? Could you even possibly disobey a god?;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.21.a;Submit to his might.;Submit to his might.;Submit to his might.;;Submit to his might.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.21.b;Someone will submit. And it won't be me.;Someone will submit. And it won't be me.;Someone will submit. And it won't be me.;;Someone will submit. And it won't be me.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.22;The troll [From.GetBestName] has succeeded in summoning his dread god, Hakkar, onto this world. The consequences of this are yet unknown, but it is without a doubt that this will not end well for anyone.;The troll [From.GetBestName] has succeeded in summoning his dread god, Hakkar, onto this world. The consequences of this are yet unknown, but it is without a doubt that this will not end well for anyone.;The troll [From.GetBestName] has succeeded in summoning his dread god, Hakkar, onto this world. The consequences of this are yet unknown, but it is without a doubt that this will not end well for anyone.;;The troll [From.GetBestName] has succeeded in summoning his dread god, Hakkar, onto this world. The consequences of this are yet unknown, but it is without a doubt that this will not end well for anyone.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.22;Worrying.;Worrying.;Worrying.;;Worrying.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTILEGURUB.23;Soulflayed;Soulflayed;Soulflayed;;Soulflayed;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.23;The troll [From.GetBestName] has succeeded in summoning the dread god, Hakkar, onto this world... and then proceeded to entrap the Loa of Blood and now 'breaks' him. Through this profane act, [From.GetBestName] is gaining incredible quantities of power, and might soon become unstoppable.;"The troll [From.GetBestName] has succeeded in summoning the dread god, Hakkar, onto this world... and then proceeded to entrap the Loa of Blood and now ""breaks"" him. Through this profane act, [From.GetBestName] is gaining incredible quantities of power, and might soon become unstoppable.";"The troll [From.GetBestName] has succeeded in summoning the dread god, Hakkar, onto this world... and then proceeded to entrap the Loa of Blood and now ""breaks"" him. Through this profane act, [From.GetBestName] is gaining incredible quantities of power, and might soon become unstoppable.";;"The troll [From.GetBestName] has succeeded in summoning the dread god, Hakkar, onto this world... and then proceeded to entrap the Loa of Blood and now ""breaks"" him. Through this profane act, [From.GetBestName] is gaining incredible quantities of power, and might soon become unstoppable.";;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.23;What.;What.;What.;;What.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTITLEGURUB.26;Hakkar's Vengeance;Hakkar's Vengeance;Hakkar's Vengeance;;Hakkar's Vengeance;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.26;Hakkar somehow has been freed from your binding and now heads for you to regain his power and get revenge. Steel yourself, for the confrontation is nigh!;Hakkar somehow has been freed from your binding and now heads for you to regain his power and get revenge. Steel yourself, for the confrontation is nigh!;Hakkar somehow has been freed from your binding and now heads for you to regain his power and get revenge. Steel yourself, for the confrontation is nigh!;;Hakkar somehow has been freed from your binding and now heads for you to regain his power and get revenge. Steel yourself, for the confrontation is nigh!;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.26;I broke you once, I will break you again!;I broke you once, I will break you again!;I broke you once, I will break you again!;;I broke you once, I will break you again!;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.27;Hakkar, the dreaded Loa of Blood, has somehow escaped from the binds of [godbreaker.GetBestName] and now heads for a final confrontation in order to reacquire his power from the pretender. Either way, the consequence will not be to anyone's benefit.;Hakkar, the dreaded Loa of Blood, has somehow escaped from the binds of [godbreaker.GetBestName] and now heads for a final confrontation in order to reacquire his power from the pretender. Either way, the consequence will not be to anyone's benefit.;Hakkar, the dreaded Loa of Blood, has somehow escaped from the binds of [godbreaker.GetBestName] and now heads for a final confrontation in order to reacquire his power from the pretender. Either way, the consequence will not be to anyone's benefit.;;Hakkar, the dreaded Loa of Blood, has somehow escaped from the binds of [godbreaker.GetBestName] and now heads for a final confrontation in order to reacquire his power from the pretender. Either way, the consequence will not be to anyone's benefit.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.27;Worrying.;Worrying.;Worrying.;;Worrying.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.29;Strange grey dragons have started appearing out of nowhere, and now attack your enemies! While they do not attempt to contact you, or respond to your attempts at communication, they mostly ignore your own warriors and seem to be on your side of the war.;Strange grey dragons have started appearing out of nowhere, and now attack your enemies! While they do not attempt to contact you, or respond to your attempts at communication, they mostly ignore your own warriors and seem to be on your side of the war.;Strange grey dragons have started appearing out of nowhere, and now attack your enemies! While they do not attempt to contact you, or respond to your attempts at communication, they mostly ignore your own warriors and seem to be on your side of the war.;;Strange grey dragons have started appearing out of nowhere, and now attack your enemies! While they do not attempt to contact you, or respond to your attempts at communication, they mostly ignore your own warriors and seem to be on your side of the war.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.29;Unexpected. But not unwelcome.;Unexpected. But not unwelcome.;Unexpected. But not unwelcome.;;Unexpected. But not unwelcome.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.30;As if the emperor's foul devotion to the Soulflayer wasn't enough, now he reveals a new weapon: mysterious grey dragons who have come from seemingly nowhere! This war is about to become even bloodier, which will only strengthen Hakkar.;As if the emperor's foul devotion to the Soulflayer wasn't enough, now he reveals a new weapon: mysterious grey dragons who have come from seemingly nowhere! This war is about to become even bloodier, which will only strengthen Hakkar.;As if the emperor's foul devotion to the Soulflayer wasn't enough, now he reveals a new weapon: mysterious grey dragons who have come from seemingly nowhere! This war is about to become even bloodier, which will only strengthen Hakkar.;;As if the emperor's foul devotion to the Soulflayer wasn't enough, now he reveals a new weapon: mysterious grey dragons who have come from seemingly nowhere! This war is about to become even bloodier, which will only strengthen Hakkar.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTGURUB.30;We must stay strong!;We must stay strong!;We must stay strong!;;We must stay strong!;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.31;The emperor's power is even greater and more glorious than you could have imagined! Dragons, though of a kind you've never heard of, fight on his side against the traitorous rebels! Truly a sign of Hakkar's might, that even dragons can be bent towards his bloody purpose.;The emperor's power is even greater and more glorious than you could have imagined! Dragons, though of a kind you've never heard of, fight on his side against the traitorous rebels! Truly a sign of Hakkar's might, that even dragons can be bent towards his bloody purpose.;The emperor's power is even greater and more glorious than you could have imagined! Dragons, though of a kind you've never heard of, fight on his side against the traitorous rebels! Truly a sign of Hakkar's might, that even dragons can be bent towards his bloody purpose.;;The emperor's power is even greater and more glorious than you could have imagined! Dragons, though of a kind you've never heard of, fight on his side against the traitorous rebels! Truly a sign of Hakkar's might, that even dragons can be bent towards his bloody purpose.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.33;Strange grey dragons have started appearing out of nowhere, and now attack your enemies! While they do not attempt to contact you, or respond to your attempts at communication, they mostly ignore your own warriors and seem to be on your side of the war.;Strange grey dragons have started appearing out of nowhere, and now attack your enemies! While they do not attempt to contact you, or respond to your attempts at communication, they mostly ignore your own warriors and seem to be on your side of the war.;Strange grey dragons have started appearing out of nowhere, and now attack your enemies! While they do not attempt to contact you, or respond to your attempts at communication, they mostly ignore your own warriors and seem to be on your side of the war.;;Strange grey dragons have started appearing out of nowhere, and now attack your enemies! While they do not attempt to contact you, or respond to your attempts at communication, they mostly ignore your own warriors and seem to be on your side of the war.;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCGURUB.34;Though Ysera's spawn attempt to stop the summoning of the great Soulflayer, other dragons seem to disagree. Strange grey dragons have appeared and, without a word, are fighting against their green counterparts. A sign from Hakkar, perhaps?;Though Ysera's spawn attempt to stop the summoning of the great Soulflayer, other dragons seem to disagree. Strange grey dragons have appeared and, without a word, are fighting against their green counterparts. A sign from Hakkar, perhaps?;Though Ysera's spawn attempt to stop the summoning of the great Soulflayer, other dragons seem to disagree. Strange grey dragons have appeared and, without a word, are fighting against their green counterparts. A sign from Hakkar, perhaps?;;Though Ysera's spawn attempt to stop the summoning of the great Soulflayer, other dragons seem to disagree. Strange grey dragons have appeared and, without a word, are fighting against their green counterparts. A sign from Hakkar, perhaps?;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTITLEHUMANEVT.1;Arathor Restored;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCHUMANEVT.1;The ancient empire of Arathor has been reformed by [From.GetTitledName], finally reuniting all humans realms that give the Eastern Kingdoms its name. If this reborn Arathor will suffer the same fate as its previous incarnation or not remains to be seen, but, for now, humanity stands united under one banner.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTITLEHUMSHAM.1;The Elements;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCHUMSHAM.1;"In your sleep you are visited by a vision. In it, you can see how the world is made of elemental energies, how they interact and are integral to the world's well-being. You realise that these ""elementals"" are some the spirits revered by your people since time immemorial. And all you need to do is to reach out to them, and they'll reach out to you, too.";;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTHUMSHAM.1a;Reach out.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTHOLYLIGHT.1b;A dream, nothing more.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCORDERS.1;To the valiant [Root.GetTitledName],\n\nAs an appreciation of your efforts, I have sent a sum of money to aid you in your fight.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCTROLLWAR.51;The traitorous [From.GetTitledName] has declared that [From.GetHerHis] realm of [From.Realm.GetFullName] is now independent of Arathor!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTTROLLWAR.51;An outrage!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCTROLLWAR.50;With the recent succession in the empire, an opportunity has presented itself: you could secede from Arathor and determine your own destiny.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTTROLLWAR.50a;I'll seize this opportunity!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTTROLLWAR.50b;I see no benefit in this.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTITLETROLLWAR.52;Fall of Arathor;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCTROLLWAR.52;The human empire of Arathor has fallen, destroying the dreams of a realm that unites all humans. Perhaps it will rise again in the future, but, for now, things look bleak.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTITLETROLLWAR.53;Fall of the Amani;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCTROLLWAR.53;The ancient Amani empire of forest trolls has finally fallen. While there are those who would look to see it reborn, most of its former citizens squabble over tribal rivalries or against the other inhabitants of the Northlands.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCTROLLWAR.55;Lately, the people of [Root.GetName] have started to no longer consider themselves arathi, instead adopting new customs and considering themselves lordaeronian.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTTROLLWAR.55;Actually, I am lordaeronian too!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCTROLLWAR.56;Lately, the people of [Root.GetName] have started to no longer consider themselves arathi, instead adopting new customs and considering themselves azerothian.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTTROLLWAR.56;Actually, I am azerothian too!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCTROLLWAR.57;Lately, the people of [Root.GetName] have started to no longer consider themselves arathi, instead adopting new customs and considering themselves dalaranian.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTTROLLWAR.57;Actually, I am dalaranian too!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCTROLLWAR.58;Lately, the people of [Root.GetName] have started to no longer consider themselves arathi, instead adopting new customs and considering themselves gilnean.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTTROLLWAR.58;Actually, I am gilnean too!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCTROLLWAR.59;Lately, the people of [Root.GetName] have started to no longer consider themselves arathi, instead adopting new customs and considering themselves tirasian.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTTROLLWAR.59;Actually, I am tirasian too!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCTROLLWAR.60;Lately, the people of [Root.GetName] have started to no longer consider themselves arathi, instead adopting new customs and considering themselves alteraci.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTTROLLWAR.60;Actually, I am alteraci too!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCDWRF.19;As of late, a radical new idea has been making its way across Gnomeregan: the end of the monarchy, and instead having the realm be ruled by an elected technical expert. A technocracy. This idea has gained traction through various segments of the population and is quickly becoming a movement.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTDWRF.19a;A brilliant idea!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTOPTDWRF.19b;No scientist can substitute royalty!;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTITLEDWRF.20;The Last Gnome Monarch;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCDWRF.20a;You agree with the technocrats: it's time for a change in how gnomes govern themselves. After all, if you can't trust the most learned and brilliant among you to be a good ruler, then who can you trust to do it?;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCDWRF.20b;As of late, a new ideology has arisen in the gnomish realm of Gnomeregan: the idea that a ruler should be not some noble who inherited their title, but a scholar or technician elected by their peers. It seems that [From.GetTitledName] agrees with this, and is working on transitioning the government of the gnomes to its newest form.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTITLEDWRF.21;The Technocrats;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCDWRF.21;As of late, a new ideology has arisen in the gnomish realm of Gnomeregan: the idea that a ruler should be not some noble who inherited their title, but a scholar or technician elected by their peers. The gnomish monarch, however, is less than pleased and denounced such ideas. Frustrated, the technocrats of Gnomeregan have taken up arms and seek to depoise their [From.GetTitle].;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCDWRF.23;[From.GetTitledName], last [From.GetTitle] of Gnomeregan has been defeated by the technocratic rebellion, and a new form of government is now used by the gnomes.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTITLEDWRF.25;Enlightened Monarchy;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESCDWRF.25;The technocratic rebellion that rose up against [From.GetTitledName] in Gnomeregan has been put down. As the last pockets of resistance are rooted out, it appears that is the monarchy that is truly enlightened.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
arcanist_op;Arcanist;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
mage_op;Mage;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
blood_mage_op;Blood Mage;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
warlock_op;Warlock;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
necromancer_op;Necromancer;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
runemaster_op;Runemaster;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
necrolyte_op;Necrolyte;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
healer_op;Healer;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
holy_priest_op;Holy Priest;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
sun_priest_op;Sun Priest;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
moon_priest_op;Moon Priest;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
shadow_priest_op;Shadow Priest;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
sea_witch_op;Sea Witch;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
elementalist_op;Elementalist;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
spiritualist_op;Spiritualist;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
dark_shaman_op;Dark Shaman;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
druid_op;Druid;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
witch_doctor_op;Witch Doctor;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
alchemist_op;Alchemist;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
scout_op;Scout;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
assassin_op;Assassin;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
rogue_op;Rogue;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
beastmaster_op;Beastmaster;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
explorer_op;Explorer;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
ranger_op;Ranger;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
tinker_op;Tinker;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
engineer_op;Engineer;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
mechanist_op;Mechanist;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
techmage_op;Techmage;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
fighter_op;Fighter;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
warrior_op;Warrior;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
paladin_op;Paladin;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
monk_op;Monk;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
death_knight_op;Death Knight;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
demon_hunter_op;Demon Hunter;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTDESC_MNM_10023;You've been excluded from your current society due to no longer meeting its requirements.;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
EVTTOOLTIPCBLOCS.1;Is backed by Zandalar;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;
